,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2366,trr,Tairora,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2368,tru,Trumai,Trumai,Trumai,South America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,1 VNeg,4 None,2 VNeg,4 None
2373,tsf,Tsafiki,Barbacoan,Barbacoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2375,tsh,Tümpisa Shoshone,Numic,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
2376,tsi,Tsimshian (Coast),Tsimshianic,Penutian,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,14 ObligDoubleNeg,4 None
2378,tsk,Tamashek,Berber,Afro-Asiatic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,15 OptDoubleNeg,3 NegStemChange
2387,tsz,Tsez,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
2391,ttn,Tetun,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2393,ttu,Tsova-Tush,Nakh,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2400,tuk,Tukang Besi,Celebic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2401,tul,Tulu,Southern Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
