,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
1335,lmu,Lamen,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,3 No dominant order,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1336,lnd,Linda,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1344,lon,Loniu,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1345,lot,Lotha,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1346,lou,Lou,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1358,luc,Lucazi,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1360,lug,Lugbara,Moru-Ma'di,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1361,lui,Luiseño,California Uto-Aztecan,Uto-Aztecan,North America,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1365,luo,Luo,Nilotic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1368,luv,Luvale,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,3 NegV&[Neg-V],14 ObligDoubleNeg,4 None
1372,ma,Ma,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1373,maa,Maasai,Nilotic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
1374,mab,Maba,Maban,Maban,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,3 VNeg&[V-Neg],4 None,15 OptDoubleNeg,4 None
1375,mac,Macushi,Cariban,Cariban,South America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1376,mad,Ma'di,Moru-Ma'di,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1377,mae,Mae,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1381,maj,Majang,Surmic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1382,mak,Makah,Southern Wakashan,Wakashan,North America,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1383,mal,Malagasy,Barito,Austronesian,Africa,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1384,mam,Mam,Mayan,Mayan,North America,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1385,man,Mano,Eastern Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1386,mao,Maori,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1387,map,Mapudungun,Araucanian,Araucanian,South America,2 SVO,2 VS,2 VO,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1388,mar,Maricopa,Yuman,Hokan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1389,mas,Masa,Masa,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1390,mau,Maung,Iwaidjan,Iwaidjan,Australia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1392,maw,Maninka (Western),Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1394,may,Maybrat,North-Central Bird's Head,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1396,mba,Mba,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1398,mbe,Mbere,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1400,mbi,Mbili,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1402,mbm,Mbum,Adamawa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1404,mbr,Mbara,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1405,mbt,Mangbetu,Mangbetu,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
1407,mby,Mbay,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1411,mcd,Macedonian,Slavic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1420,mcv,Mocoví,South Guaicuruan,Guaicuruan,South America,2 SVO,2 VS,2 VO,3 No dominant order,4 None,2 [Neg-V],3 [Neg-V],4 None
1421,mda,Mada (in Cameroon),Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1423,mde,Mende,Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1424,mdg,Mundang,Adamawa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1426,mdl,Matngele,Eastern Daly,Eastern Daly,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1427,mdm,Madimadi,Southeastern Pama-Nyungan,Pama-Nyungan,,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1428,mdn,Mandan,Core Siouan,Siouan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1429,mdo,Mbodomo,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1433,mdw,Mbosi,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1435,mea,Meyah,East Bird's Head,East Bird's Head,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1437,mee,Me'en,Surmic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1438,meh,Mehri,Semitic,Afro-Asiatic,Eurasia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1440,mek,Mekens,Tupari,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1443,men,Menomini,Algonquian,Algic,North America,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
1444,mer,Meryam Mir,Western Fly,Western Fly,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1446,mga,Mondunga,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
1449,mgg,Mangghuer,Mongolic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1452,mgk,Mungaka,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1457,mgu,Musgu,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1459,mhi,Marathi,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1466,mie,Mien,Hmong-Mien,Hmong-Mien,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1470,mik,Mikir,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
1472,min,Minangkabau,Malayo-Sumbawan,Austronesian,Papunesia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1474,mis,Miskito,Misumalpan,Misumalpan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1476,miy,Miya,West Chadic,Afro-Asiatic,Africa,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1477,miz,Mizo,Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1481,mka,Mauka,Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1483,mkd,Makonde,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1485,mkg,Mandinka (Gambian),Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1488,mkj,Makasae,Makasae-Fataluku-Oirata,Timor-Alor-Pantar,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1495,mku,Maranungku,Wagaydy,Western Daly,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1497,mkz,Makaa,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1501,mlg,Malgwa,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1507,mlu,Maleu,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1510,mmb,Mangap-Mbula,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1513,mmn,Mamanwa,Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1518,mmv,Mamvu,Mangbutu-Efe,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1521,mna,Muna,Celebic,Austronesian,Papunesia,2 SVO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1522,mnc,Manchu,Tungusic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1523,mnd,Mandarin,Chinese,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1524,mne,Maidu (Northeast),Maiduan,Penutian,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1529,mnm,Manam,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1532,mns,Mansi,Ugric,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1541,moe,Mordvin (Erzya),Mordvin,Uralic,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1546,mok,Mokilese,Oceanic,Austronesian,Papunesia,2 SVO,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1549,mon,Mon,Monic,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1550,moo,Mooré,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1552,mor,Mor,South Halmahera - West New Guinea,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1553,mos,Mosetén,Mosetenan,Mosetenan,South America,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1555,mou,Moru,Moru-Ma'di,Central Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1557,mpa,Murrinh-Patha,Murrinh-Patha,Southern Daly,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1560,mpt,Mian,Ok,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1561,mpu,Mpur,Kebar,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1565,mra,Mara,Mara,Mangarrayi-Maran,Australia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
1568,mrg,Margi,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1569,mrh,Marrithiyel,Bringen,Western Daly,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1573,mrl,Murle,Surmic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1575,mro,Moro,Heiban,Kordofanian,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1576,mrq,Marquesan,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1577,mrr,Maringarr,Bringen,Western Daly,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1579,mrt,Martuthunira,Western Pama-Nyungan,Pama-Nyungan,Australia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1580,mru,Maru,Burmese-Lolo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1581,mrw,Muruwari,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1582,msc,Muisca,Chibcha-Duit,Chibchan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1584,msg,Mising,Tani,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1586,msk,Masakin,Talodi,Kordofanian,Africa,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1587,msl,Masalit,Maban,Maban,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1588,msm,Musom,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1589,msn,Maisin,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1590,msq,Musqueam,Central Salish,Salishan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1591,mss,Miwok (Southern Sierra),Miwok,Penutian,North America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1594,mtb,Matuumbi,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1602,mts,Matis,Panoan,Panoan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1604,mtu,Motu,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
1605,mua,Makua,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1611,mum,Mumuye,Adamawa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1612,mun,Mundari,Munda,Austro-Asiatic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1614,mup,Mupun,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
1615,mur,Mursi,Surmic,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1616,mus,Mussau,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1621,mwb,Manobo (Western Bukidnon),Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1623,mwe,Mwera,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1626,mwo,Mwotlap,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
1629,mxc,Mixtec (Chalcatongo),Mixtecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1630,mxe,Ifira-Mele,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],15 OptDoubleNeg,4 None
1632,mxj,Mixtec (Jicaltepec),Mixtecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1635,mxo,Mixtec (Ocotepec),Mixtecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1636,mxp,Mixtec (Peñoles),Mixtecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1640,mxx,Mixe (Ayutla),Mixe-Zoque,Mixe-Zoque,,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,3 NegV&[Neg-V],15 OptDoubleNeg,4 None
1644,myg,Mayogo,Ubangi,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
1645,myi,Mangarrayi,Mangarrayi,Mangarrayi-Maran,Australia,5 OVS,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1647,mym,Malayalam,Southern Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1656,nab,Nabak,Finisterre-Huon,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1659,nag,Nagatman,Yale,Yale,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
1662,naj,Neo-Aramaic (Arbel Jewish),Semitic,Afro-Asiatic,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1663,nak,Nakanai,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1664,nal,Nalik,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1665,nam,Namia,Yellow River,Sepik,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1666,nan,Nandi,Nilotic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1668,nar,Nara (in Ethiopia),Nara,Eastern Sudanic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1669,nas,Nasioi,East Bougainville,East Bougainville,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1672,nav,Navajo,Athapaskan,Na-Dene,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1675,nbd,Nubian (Dongolese),Nubian,Eastern Sudanic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1681,nbr,Ngäbere,Guaymiic,Chibchan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1682,nca,Nicobarese (Car),Nicobarese,Austro-Asiatic,Eurasia,4 VOS,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1683,ncm,Ncàm,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1684,ndb,Ndebele (in South Africa),Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
1688,ndj,Ndjébbana,Ndjébbana,Mangrida,Australia,7 No dominant order,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1689,ndo,Ndonga,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1690,ndr,Nadroga,Oceanic,Austronesian,Papunesia,7 No dominant order,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1691,ndt,Ndut,Northern Atlantic,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1692,ndu,Ndumu,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
1693,ndy,Ndyuka,Creoles and Pidgins,other,South America,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1696,neh,Nehan,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1698,nen,Nenets,Samoyedic,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1699,nep,Nepali,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
1700,nev,Nevome,Tepiman,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1701,new,Newari (Kathmandu),Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
1703,nez,Nez Perce,Sahaptian,Penutian,North America,7 No dominant order,3 No dominant order,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1704,nga,Nganasan,Samoyedic,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
1706,ngd,Ngad'a,Central Malayo-Polynesian,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1711,ngk,Ngankikurungkurr,Ngankikurungkurr,Southern Daly,Australia,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1712,ngl,Ngalakan,Ngalakan,Gunwinyguan,Australia,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
1713,ngm,Ngambay,Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1715,ngo,Ngoni,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,2 [Neg-V],9 Type 2 / Type 3,4 None
1717,ngt,Naga (Tangkhul),Kuki-Chin,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
1718,ngu,Nguna,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1719,ngw,Ngawun,Northern Pama-Nyungan,Pama-Nyungan,Australia,2 SVO,1 SV,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
1721,ngz,Ngizim,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
1724,nhh,Nahuatl (Huasteca),Aztecan,Uto-Aztecan,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
1725,nhm,Nahuatl (Michoacán),Aztecan,Uto-Aztecan,North America,2 SVO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
